table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.McDuffie County, Georgia	21,625	21,603	21,636	21,713
.McIntosh County, Georgia	10,975	10,987	11,051	11,180
.Macon County, Georgia	12,081	12,021	11,832	11,765
.Madison County, Georgia	30,123	30,269	30,883	31,473
.Marion County, Georgia	7,506	7,530	7,426	7,449
.Meriwether County, Georgia	20,610	20,606	20,715	20,845
.Miller County, Georgia	5,997	5,988	5,886	5,807
.Mitchell County, Georgia	21,762	21,668	21,266	21,116
.Monroe County, Georgia	27,955	28,055	28,729	29,427
.Montgomery County, Georgia	8,610	8,574	8,654	8,655
.Morgan County, Georgia	20,096	20,198	20,654	21,031
.Murray County, Georgia	39,982	40,012	40,032	40,472
.Muscogee County, Georgia	206,922	206,998	205,024	202,616
.Newton County, Georgia	112,491	112,843	115,318	117,621
.Oconee County, Georgia	41,799	42,013	43,025	43,588
.Oglethorpe County, Georgia	14,824	14,867	15,142	15,469
.Paulding County, Georgia	168,660	169,570	173,921	178,421
.Peach County, Georgia	27,989	28,040	28,245	28,562
.Pickens County, Georgia	33,215	33,339	33,990	34,826
.Pierce County, Georgia	19,716	19,746	19,975	20,168
.Pike County, Georgia	18,881	18,936	19,534	19,990
.Polk County, Georgia	42,854	42,923	43,332	43,709
.Pulaski County, Georgia	9,857	9,873	9,582	9,984
.Putnam County, Georgia	22,046	22,163	22,643	22,984
.Quitman County, Georgia	2,238	2,228	2,236	2,249
.Rabun County, Georgia	16,882	16,914	17,088	17,206
.Randolph County, Georgia	6,423	6,368	6,253	6,116
.Richmond County, Georgia	206,607	206,526	205,358	206,640
.Rockdale County, Georgia	93,554	93,644	93,961	94,984
.Schley County, Georgia	4,546	4,534	4,476	4,496
.Screven County, Georgia	14,066	14,078	14,055	13,977
.Seminole County, Georgia	9,152	9,131	9,142	9,127
.Spalding County, Georgia	67,301	67,455	67,699	68,919
.Stephens County, Georgia	26,787	26,820	26,765	26,767
.Stewart County, Georgia	5,312	5,304	4,914	4,648
.Sumter County, Georgia	29,612	29,516	28,978	28,877
.Talbot County, Georgia	5,735	5,726	5,746	5,747
.Taliaferro County, Georgia	1,562	1,562	1,560	1,600
.Tattnall County, Georgia	24,287	24,316	24,132	24,064
.Taylor County, Georgia	7,816	7,819	7,754	7,737
.Telfair County, Georgia	12,477	12,465	12,330	12,354
.Terrell County, Georgia	9,184	9,138	8,904	8,754
.Thomas County, Georgia	45,806	45,785	45,815	45,561
.Tift County, Georgia	41,347	41,374	41,123	41,412
.Toombs County, Georgia	27,031	27,081	26,873	26,837
.Towns County, Georgia	12,487	12,545	12,867	12,972
.Treutlen County, Georgia	6,401	6,396	6,382	6,365
.Troup County, Georgia	69,427	69,323	69,479	70,191
.Turner County, Georgia	9,001	8,983	8,931	8,842
.Twiggs County, Georgia	8,023	8,011	7,899	7,680
.Union County, Georgia	24,626	24,798	25,560	26,388
.Upson County, Georgia	27,699	27,740	27,673	28,086
.Walker County, Georgia	67,660	67,742	68,405	68,915
.Walton County, Georgia	96,669	97,153	99,808	103,065
.Ware County, Georgia	36,247	36,225	35,547	35,614
.Warren County, Georgia	5,211	5,208	5,214	5,155
.Washington County, Georgia	19,992	19,948	19,766	19,738
.Wayne County, Georgia	30,144	30,145	30,246	30,896
.Webster County, Georgia	2,349	2,352	2,356	2,328
.Wheeler County, Georgia	7,479	7,447	7,748	7,314
.White County, Georgia	28,000	28,108	28,393	28,806
.Whitfield County, Georgia	102,866	102,776	102,688	103,132
.Wilcox County, Georgia	8,767	8,792	8,746	8,761
.Wilkes County, Georgia	9,567	9,556	9,516	9,599
.Wilkinson County, Georgia	8,868	8,824	8,791	8,681
.Worth County, Georgia	20,783	20,738	20,557	20,424
.Hawaii County, Hawaii	200,631	200,712	203,792	206,315
.Honolulu County, Hawaii	1,016,506	1,012,305	1,004,673	995,638
.Kalawao County, Hawaii	80	80	81	82
.Kauai County, Hawaii	73,294	73,186	73,791	73,810
.Maui County, Hawaii	164,762	164,760	164,817	164,351
.Ada County, Idaho	494,964	498,260	512,914	518,907
.Adams County, Idaho	4,380	4,425	4,632	4,817
.Bannock County, Idaho	87,017	87,270	88,349	89,517
.Bear Lake County, Idaho	6,371	6,367	6,559	6,722
.Benewah County, Idaho	9,531	9,576	9,941	10,370
.Bingham County, Idaho	47,995	48,106	48,898	49,923
.Blaine County, Idaho	24,275	24,342	24,767	24,866
.Boise County, Idaho	7,613	7,662	8,121	8,333
.Bonner County, Idaho	47,105	47,402	49,617	51,414
.Bonneville County, Idaho	123,955	124,716	128,045	129,496
.Boundary County, Idaho	12,057	12,137	12,635	13,345
.Butte County, Idaho	2,575	2,583	2,650	2,684
.Camas County, Idaho	1,073	1,083	1,129	1,153
.Canyon County, Idaho	231,106	232,998	243,774	251,065
.Caribou County, Idaho	7,028	7,012	7,110	7,190
.Cassia County, Idaho	24,693	24,760	25,249	25,655
.Clark County, Idaho	788	791	793	806
.Clearwater County, Idaho	8,731	8,752	8,917	9,015
.Custer County, Idaho	4,274	4,265	4,434	4,506
.Elmore County, Idaho	28,665	28,669	28,941	29,403
.Franklin County, Idaho	14,196	14,284	14,676	15,189
.Fremont County, Idaho	13,383	13,414	13,606	13,978
.Gem County, Idaho	19,126	19,274	19,832	20,418
.Gooding County, Idaho	15,599	15,643	15,725	15,715
.Idaho County, Idaho	16,542	16,588	17,053	17,593
.Jefferson County, Idaho	30,889	31,077	32,253	33,428
.Jerome County, Idaho	24,241	24,268	24,745	25,311
.Kootenai County, Idaho	171,374	172,790	180,146	183,578
.Latah County, Idaho	39,518	39,629	40,397	40,978
.Lemhi County, Idaho	7,976	7,958	8,136	8,240
.Lewis County, Idaho	3,528	3,528	3,709	3,763
.Lincoln County, Idaho	5,123	5,129	5,260	5,329
.Madison County, Idaho	52,908	52,929	54,114	54,976
.Minidoka County, Idaho	21,582	21,666	21,945	22,194
.Nez Perce County, Idaho	42,089	42,141	42,509	43,004
.Oneida County, Idaho	4,563	4,562	4,588	4,712
.Owyhee County, Idaho	11,914	11,994	12,348	12,613
.Payette County, Idaho	25,385	25,583	26,377	26,956
.Power County, Idaho	7,874	7,877	7,959	8,068
.Shoshone County, Idaho	13,164	13,195	13,659	14,012
.Teton County, Idaho	11,633	11,735	12,294	12,544
.Twin Falls County, Idaho	90,045	90,361	92,357	93,696
.Valley County, Idaho	11,744	11,842	12,264	12,464
.Washington County, Idaho	10,500	10,559	10,887	11,087
.Adams County, Illinois	65,727	65,612	65,146	64,725
.Alexander County, Illinois	5,242	5,173	5,032	4,858
.Bond County, Illinois	16,729	16,688	16,633	16,566
.Boone County, Illinois	53,446	53,334	53,199	53,154
.Brown County, Illinois	6,247	6,233	6,443	6,330
.Bureau County, Illinois	33,229	33,172	32,961	32,828
.Calhoun County, Illinois	4,435	4,404	4,385	4,360
.Carroll County, Illinois	15,705	15,667	15,674	15,529
.Cass County, Illinois	13,044	12,985	12,798	12,657
.Champaign County, Illinois	205,863	205,629	206,708	206,542
.Christian County, Illinois	34,031	33,950	33,721	33,436
.Clark County, Illinois	15,457	15,423	15,354	15,229
.Clay County, Illinois	13,290	13,271	13,154	13,047
.Clinton County, Illinois	36,906	36,913	36,886	36,909
.Coles County, Illinois	46,865	46,761	46,809	46,334
.Cook County, Illinois	5,275,522	5,261,249	5,177,606	5,109,292
.Crawford County, Illinois	18,672	18,648	18,691	18,536
.Cumberland County, Illinois	10,448	10,429	10,343	10,324
.DeKalb County, Illinois	100,415	100,253	100,472	100,232
.De Witt County, Illinois	15,510	15,450	15,379	15,310
.Douglas County, Illinois	19,734	19,758	19,740	19,755
.DuPage County, Illinois	932,877	931,244	926,448	920,901
.Edgar County, Illinois	16,868	16,796	16,589	16,433
.Edwards County, Illinois	6,247	6,208	6,086	6,071
.Effingham County, Illinois	34,671	34,695	34,531	34,325
.Fayette County, Illinois	21,492	21,483	21,447	21,305
.Ford County, Illinois	13,531	13,517	13,491	13,249
.Franklin County, Illinois	37,798	37,685	37,498	37,242
.Fulton County, Illinois	33,611	33,488	33,313	33,021
.Gallatin County, Illinois	4,948	4,938	4,907	4,855
.Greene County, Illinois	11,988	11,936	11,851	11,651
.Grundy County, Illinois	52,544	52,517	52,929	53,041
.Hamilton County, Illinois	7,993	7,997	7,923	7,984
.Hancock County, Illinois	17,621	17,547	17,388	17,244
.Hardin County, Illinois	3,647	3,641	3,650	3,597
.Henderson County, Illinois	6,385	6,334	6,304	6,151
.Henry County, Illinois	49,290	49,172	48,868	48,419
.Iroquois County, Illinois	27,079	26,977	26,761	26,473
.Jackson County, Illinois	52,984	52,906	52,666	52,617
.Jasper County, Illinois	9,288	9,240	9,204	9,212
.Jefferson County, Illinois	37,118	36,998	36,882	36,400
.Jersey County, Illinois	21,520	21,495	21,370	21,246
.Jo Daviess County, Illinois	22,042	22,057	21,932	21,758
.Johnson County, Illinois	13,310	13,322	13,471	13,381
.Kane County, Illinois	516,520	516,141	516,183	514,182
.Kankakee County, Illinois	107,508	107,250	106,652	106,074
.Kendall County, Illinois	131,868	132,348	134,948	137,254
.Knox County, Illinois	49,971	49,799	49,347	48,640
.Lake County, Illinois	714,351	713,251	712,160	709,150
.LaSalle County, Illinois	109,663	109,421	109,139	108,078
.Lawrence County, Illinois	15,283	15,258	15,216	14,914
.Lee County, Illinois	34,144	34,051	34,166	33,848
.Livingston County, Illinois	35,816	35,779	35,741	35,521
.Logan County, Illinois	27,986	27,899	27,970	27,591
.McDonough County, Illinois	27,237	27,097	26,848	26,861
.McHenry County, Illinois	310,227	309,886	311,592	311,747
.McLean County, Illinois	170,975	170,954	171,190	171,141
.Macon County, Illinois	104,003	103,756	102,649	101,483
.Macoupin County, Illinois	44,967	44,845	44,545	44,245
.Madison County, Illinois	265,858	265,610	264,898	263,864
.Marion County, Illinois	37,727	37,639	37,378	36,914
.Marshall County, Illinois	11,744	11,706	11,686	11,678
.Mason County, Illinois	13,091	13,057	12,859	12,748
.Massac County, Illinois	14,176	14,138	13,966	13,896
.Menard County, Illinois	12,296	12,271	12,184	12,121
.Mercer County, Illinois	15,694	15,627	15,568	15,504
.Monroe County, Illinois	34,953	34,952	34,993	35,033
.Montgomery County, Illinois	28,287	28,203	28,154	28,020
.Morgan County, Illinois	32,917	32,838	32,599	32,209
.Moultrie County, Illinois	14,523	14,476	14,509	14,323
.Ogle County, Illinois	51,788	51,694	51,474	51,351
.Peoria County, Illinois	181,833	181,322	179,764	178,383
.Perry County, Illinois	20,940	20,882	21,033	20,588
.Piatt County, Illinois	16,672	16,674	16,781	16,723
.Pike County, Illinois	14,737	14,641	14,609	14,484
.Pope County, Illinois	3,768	3,758	3,770	3,770
.Pulaski County, Illinois	5,191	5,160	5,073	4,991
.Putnam County, Illinois	5,638	5,631	5,596	5,572
.Randolph County, Illinois	30,165	30,086	30,219	30,068
.Richland County, Illinois	15,800	15,778	15,685	15,435
.Rock Island County, Illinois	144,678	144,359	142,992	141,527
.St. Clair County, Illinois	257,403	256,823	255,022	252,671
.Saline County, Illinois	23,772	23,688	23,348	23,087
.Sangamon County, Illinois	196,338	196,122	195,422	194,534
.Schuyler County, Illinois	6,902	6,871	6,822	6,746
.Scott County, Illinois	4,947	4,941	4,855	4,790
.Shelby County, Illinois	20,995	20,924	20,861	20,761
.Stark County, Illinois	5,405	5,391	5,296	5,345
.Stephenson County, Illinois	44,623	44,493	44,071	43,627
.Tazewell County, Illinois	131,334	131,073	130,563	129,911
.Union County, Illinois	17,243	17,182	16,937	16,767
.Vermilion County, Illinois	74,199	74,001	73,263	72,337
.Wabash County, Illinois	11,361	11,315	11,210	11,087
.Warren County, Illinois	16,840	16,828	16,595	16,354
.Washington County, Illinois	13,767	13,731	13,651	13,643
.Wayne County, Illinois	16,173	16,125	15,967	15,872
.White County, Illinois	13,872	13,807	13,768	13,614
.Whiteside County, Illinois	55,691	55,553	55,342	54,658
.Will County, Illinois	696,362	695,844	697,985	696,757
.Williamson County, Illinois	67,154	67,113	66,943	66,695
.Winnebago County, Illinois	285,350	284,928	283,559	282,188
.Woodford County, Illinois	38,450	38,395	38,210	38,128
.Adams County, Indiana	35,811	35,852	35,939	36,068
.Allen County, Indiana	385,411	386,082	389,112	391,449
.Bartholomew County, Indiana	82,218	82,216	82,730	83,540
.Benton County, Indiana	8,720	8,716	8,714	8,719
.Blackford County, Indiana	12,115	12,111	12,056	11,919
.Boone County, Indiana	70,814	71,134	73,006	74,164
.Brown County, Indiana	15,475	15,482	15,573	15,570
.Carroll County, Indiana	20,304	20,331	20,502	20,555
.Cass County, Indiana	37,870	37,791	37,579	37,540
.Clark County, Indiana	121,091	121,353	122,847	124,237
.Clay County, Indiana	26,457	26,419	26,370	26,379
.Clinton County, Indiana	33,188	33,174	33,025	32,843
.Crawford County, Indiana	10,530	10,525	10,491	10,536
.Daviess County, Indiana	33,391	33,366	33,381	33,418
.Dearborn County, Indiana	50,680	50,754	50,946	51,138
.Decatur County, Indiana	26,471	26,465	26,322	26,416
.DeKalb County, Indiana	43,273	43,297	43,369	43,731
.Delaware County, Indiana	111,909	111,763	111,981	112,031
.Dubois County, Indiana	43,635	43,643	43,625	43,632
.Elkhart County, Indiana	207,054	206,983	207,066	206,890
.Fayette County, Indiana	23,404	23,362	23,376	23,349
.Floyd County, Indiana	80,474	80,509	80,606	80,714
.Fountain County, Indiana	16,474	16,483	16,466	16,574
.Franklin County, Indiana	22,796	22,793	22,857	23,028
.Fulton County, Indiana	20,480	20,469	20,380	20,327
.Gibson County, Indiana	33,017	33,055	32,954	32,993
.Grant County, Indiana	66,661	66,475	66,203	66,022
.Greene County, Indiana	30,805	30,804	30,826	31,006
.Hamilton County, Indiana	347,465	348,966	357,330	364,921
.Hancock County, Indiana	79,851	80,187	81,855	83,070
.Harrison County, Indiana	39,649	39,662	39,817	39,851
.Hendricks County, Indiana	174,792	175,575	179,555	182,534
.Henry County, Indiana	48,912	48,903	49,036	48,915
.Howard County, Indiana	83,659	83,588	83,642	83,574
.Huntington County, Indiana	36,670	36,646	36,792	36,834
.Jackson County, Indiana	46,425	46,461	46,285	46,300
.Jasper County, Indiana	32,912	32,892	33,113	33,281
.Jay County, Indiana	20,478	20,476	20,309	20,198
.Jefferson County, Indiana	33,147	33,100	33,119	32,946
.Jennings County, Indiana	27,614	27,581	27,507	27,536
.Johnson County, Indiana	161,768	162,224	164,418	165,782
.Knox County, Indiana	36,286	36,248	35,964	35,789
.Kosciusko County, Indiana	80,247	80,155	80,323	80,826
.LaGrange County, Indiana	40,444	40,530	40,538	40,866
.Lake County, Indiana	498,707	498,932	499,327	499,689
.LaPorte County, Indiana	112,422	112,276	112,486	111,675
.Lawrence County, Indiana	45,015	45,012	45,045	45,222
.Madison County, Indiana	130,141	130,195	130,979	131,744
.Marion County, Indiana	977,213	976,631	971,647	969,466
.Marshall County, Indiana	46,096	46,076	46,175	46,332
.Martin County, Indiana	9,806	9,803	9,799	9,803
.Miami County, Indiana	35,972	35,913	36,032	35,674
.Monroe County, Indiana	139,717	139,571	140,135	139,745
.Montgomery County, Indiana	37,941	37,942	38,061	38,273
.Morgan County, Indiana	71,785	71,848	72,260	72,236
.Newton County, Indiana	13,825	13,786	13,793	13,823
.Noble County, Indiana	47,461	47,453	47,419	47,367
.Ohio County, Indiana	5,930	5,922	5,992	6,114
.Orange County, Indiana	19,872	19,848	19,812	19,623
.Owen County, Indiana	21,326	21,314	21,432	21,482
.Parke County, Indiana	16,154	16,155	16,486	16,369
.Perry County, Indiana	19,170	19,151	19,317	19,183
.Pike County, Indiana	12,252	12,247	12,178	12,168
.Porter County, Indiana	173,208	173,295	174,517	174,791
.Posey County, Indiana	25,213	25,173	25,129	25,063
.Pulaski County, Indiana	12,523	12,523	12,370	12,485
.Putnam County, Indiana	36,728	36,679	37,016	37,301
.Randolph County, Indiana	24,502	24,409	24,437	24,437
.Ripley County, Indiana	28,984	28,968	29,017	29,087
.Rush County, Indiana	16,755	16,767	16,699	16,673
.St. Joseph County, Indiana	272,914	272,672	272,341	272,234
.Scott County, Indiana	24,383	24,371	24,437	24,588
.Shelby County, Indiana	45,052	45,058	45,025	44,991
.Spencer County, Indiana	19,814	19,835	19,875	19,967
.Starke County, Indiana	23,370	23,380	23,378	23,258
.Steuben County, Indiana	34,448	34,453	34,666	34,725
.Sullivan County, Indiana	20,820	20,819	20,781	20,670
.Switzerland County, Indiana	9,753	9,742	9,849	10,006
.Tippecanoe County, Indiana	186,249	186,369	187,566	188,717
.Tipton County, Indiana	15,355	15,386	15,393	15,361
.Union County, Indiana	7,087	7,081	7,014	6,952
.Vanderburgh County, Indiana	180,136	180,331	180,267	179,744
.Vermillion County, Indiana	15,447	15,409	15,440	15,451
.Vigo County, Indiana	106,158	106,119	106,084	106,006
.Wabash County, Indiana	30,986	30,936	30,897	30,828
.Warren County, Indiana	8,436	8,424	8,459	8,461
.Warrick County, Indiana	63,896	63,996	64,623	65,185
.Washington County, Indiana	28,176	28,242	28,151	28,224
.Wayne County, Indiana	66,555	66,513	66,490	66,273
.Wells County, Indiana	28,187	28,167	28,177	28,335
.White County, Indiana	24,691	24,668	24,662	24,598
.Whitley County, Indiana	34,190	34,338	34,492	34,627
.Adair County, Iowa	7,498	7,494	7,538	7,494
.Adams County, Iowa	3,708	3,710	3,642	3,611
.Allamakee County, Iowa	14,061	14,068	13,968	13,960
.Appanoose County, Iowa	12,315	12,285	12,266	12,094
.Audubon County, Iowa	5,676	5,681	5,665	5,598
.Benton County, Iowa	25,571	25,534	25,719	25,711
.Black Hawk County, Iowa	131,147	131,034	130,606	130,274
.Boone County, Iowa	26,715	26,700	26,776	26,609
.Bremer County, Iowa	24,988	25,003	25,122	25,259
.Buchanan County, Iowa	20,565	20,606	20,697	20,714
.Buena Vista County, Iowa	20,830	20,809	20,767	20,600
.Butler County, Iowa	14,335	14,332	14,362	14,269
.Calhoun County, Iowa	9,914	9,882	9,884	9,725
.Carroll County, Iowa	20,757	20,721	20,752	20,567
.Cass County, Iowa	13,132	13,118	13,065	13,104
.Cedar County, Iowa	18,497	18,491	18,444	18,399
.Cerro Gordo County, Iowa	43,132	43,023	42,761	42,409
.Cherokee County, Iowa	11,664	11,663	11,532	11,491
.Chickasaw County, Iowa	12,015	11,990	11,899	11,716
.Clarke County, Iowa	9,744	9,726	9,756	9,692
.Clay County, Iowa	16,381	16,335	16,428	16,475
.Clayton County, Iowa	17,045	17,030	17,047	17,027
.Clinton County, Iowa	46,470	46,432	46,526	46,344
.Crawford County, Iowa	16,526	16,490	16,243	16,123
.Dallas County, Iowa	99,677	100,473	104,069	108,016
.Davis County, Iowa	9,110	9,112	9,146	9,130
.Decatur County, Iowa	7,639	7,605	7,660	7,683
.Delaware County, Iowa	17,484	17,456	17,531	17,568
.Des Moines County, Iowa	38,907	38,816	38,507	38,293
.Dickinson County, Iowa	17,704	17,766	17,852	18,028
.Dubuque County, Iowa	99,264	99,291	98,815	98,677
.Emmet County, Iowa	9,383	9,335	9,318	9,176
.Fayette County, Iowa	19,511	19,445	19,309	19,294
.Floyd County, Iowa	15,627	15,590	15,449	15,337
.Franklin County, Iowa	10,016	9,997	9,952	9,916
.Fremont County, Iowa	6,602	6,567	6,575	6,464
.Greene County, Iowa	8,766	8,752	8,733	8,741
.Grundy County, Iowa	12,329	12,334	12,371	12,356
.Guthrie County, Iowa	10,623	10,613	10,586	10,647
.Hamilton County, Iowa	15,039	15,008	14,883	14,820
.Hancock County, Iowa	10,794	10,757	10,685	10,685
.Hardin County, Iowa	16,873	16,820	16,719	16,567
.Harrison County, Iowa	14,578	14,564	14,683	14,658
.Henry County, Iowa	20,488	20,451	20,390	20,196
.Howard County, Iowa	9,468	9,492	9,500	9,533
.Humboldt County, Iowa	9,598	9,595	9,637	9,572
.Ida County, Iowa	7,002	7,019	6,974	6,888
.Iowa County, Iowa	16,663	16,654	16,574	16,475
.Jackson County, Iowa	19,485	19,452	19,397	19,324
.Jasper County, Iowa	37,809	37,810	37,874	37,938
.Jefferson County, Iowa	15,665	15,693	15,762	15,698
.Johnson County, Iowa	152,861	153,042	155,016	156,420
.Jones County, Iowa	20,646	20,653	20,839	20,848
.Keokuk County, Iowa	10,035	10,012	9,924	9,904
.Kossuth County, Iowa	14,822	14,794	14,524	14,475
.Lee County, Iowa	33,548	33,520	33,208	32,840
.Linn County, Iowa	230,303	230,411	229,458	229,033
.Louisa County, Iowa	10,837	10,821	10,747	10,677
.Lucas County, Iowa	8,636	8,620	8,696	8,689
.Lyon County, Iowa	11,934	11,927	12,061	12,179
.Madison County, Iowa	16,545	16,628	16,789	17,036
.Mahaska County, Iowa	22,180	22,147	21,944	21,946
.Marion County, Iowa	33,417	33,408	33,444	33,642
.Marshall County, Iowa	40,104	40,093	39,899	39,879
.Mills County, Iowa	14,486	14,399	14,464	14,553
.Mitchell County, Iowa	10,563	10,588	10,563	10,532
.Monona County, Iowa	8,757	8,746	8,595	8,486
.Monroe County, Iowa	7,574	7,597	7,595	7,550
.Montgomery County, Iowa	10,329	10,330	10,325	10,205
.Muscatine County, Iowa	43,242	43,141	42,688	42,377
.O'Brien County, Iowa	14,187	14,154	14,062	14,060
.Osceola County, Iowa	6,196	6,202	6,163	6,036
.Page County, Iowa	15,213	15,196	15,215	15,143
.Palo Alto County, Iowa	8,999	8,989	8,909	8,764
.Plymouth County, Iowa	25,697	25,689	25,714	25,681
.Pocahontas County, Iowa	7,077	7,067	7,057	7,053
.Polk County, Iowa	492,411	492,997	497,675	501,089
.Pottawattamie County, Iowa	93,670	93,670	93,434	93,173
.Poweshiek County, Iowa	18,658	18,628	18,603	18,467
.Ringgold County, Iowa	4,663	4,642	4,626	4,670
.Sac County, Iowa	9,817	9,794	9,745	9,673
.Scott County, Iowa	174,669	174,596	174,278	173,924
.Shelby County, Iowa	11,748	11,723	11,773	11,645
.Sioux County, Iowa	35,870	35,887	35,991	36,050
.Story County, Iowa	98,536	98,645	99,666	99,673
.Tama County, Iowa	17,130	17,077	16,874	16,903
.Taylor County, Iowa	5,896	5,865	5,873	5,858
.Union County, Iowa	12,145	12,132	12,036	11,887
.Van Buren County, Iowa	7,203	7,217	7,261	7,256
.Wapello County, Iowa	35,445	35,330	35,283	35,043
.Warren County, Iowa	52,402	52,588	53,487	54,327
.Washington County, Iowa	22,567	22,540	22,494	22,571
.Wayne County, Iowa	6,495	6,504	6,511	6,467
.Webster County, Iowa	36,996	36,985	37,178	36,626
.Winnebago County, Iowa	10,683	10,662	10,664	10,617
.Winneshiek County, Iowa	20,061	20,037	19,915	19,974
.Woodbury County, Iowa	105,944	105,904	105,816	105,671
.Worth County, Iowa	7,444	7,435	7,380	7,319
.Wright County, Iowa	12,941	12,915	12,811	12,681
.Allen County, Kansas	12,522	12,532	12,526	12,579
.Anderson County, Kansas	7,839	7,843	7,800	7,776
.Atchison County, Kansas	16,341	16,318	16,257	16,108
.Barber County, Kansas	4,233	4,203	4,099	4,122
.Barton County, Kansas	25,495	25,419	25,239	25,080
.Bourbon County, Kansas	14,361	14,333	14,336	14,493
.Brown County, Kansas	9,511	9,482	9,453	9,364
.Butler County, Kansas	67,383	67,390	67,958	68,240
.Chase County, Kansas	2,576	2,574	2,598	2,548
.Chautauqua County, Kansas	3,383	3,385	3,391	3,415
.Cherokee County, Kansas	19,357	19,297	19,208	19,088
.Cheyenne County, Kansas	2,616	2,615	2,624	2,583
.Clark County, Kansas	1,988	1,974	1,958	1,933
.Clay County, Kansas	8,112	8,122	8,091	8,043
.Cloud County, Kansas	9,034	9,008	8,954	8,946
.Coffey County, Kansas	8,358	8,356	8,343	8,280
.Comanche County, Kansas	1,687	1,680	1,660	1,681
.Cowley County, Kansas	34,547	34,524	34,652	34,453
.Crawford County, Kansas	38,976	38,951	39,033	39,078
.Decatur County, Kansas	2,770	2,765	2,764	2,689
.Dickinson County, Kansas	18,397	18,368	18,483	18,430
.Doniphan County, Kansas	7,498	7,463	7,442	7,440
.Douglas County, Kansas	118,784	118,777	119,480	119,964
.Edwards County, Kansas	2,901	2,883	2,800	2,739
.Elk County, Kansas	2,479	2,474	2,431	2,441
.Ellis County, Kansas	28,932	28,943	28,897	28,941
.Ellsworth County, Kansas	6,383	6,369	6,320	6,355
.Finney County, Kansas	38,467	38,302	38,066	37,650
.Ford County, Kansas	34,282	34,208	34,121	33,848
.Franklin County, Kansas	25,994	26,008	26,021	25,992
.Geary County, Kansas	36,730	36,751	36,112	35,691
.Gove County, Kansas	2,717	2,707	2,735	2,717
.Graham County, Kansas	2,417	2,408	2,408	2,411
.Grant County, Kansas	7,353	7,326	7,318	7,197
.Gray County, Kansas	5,654	5,646	5,672	5,729
.Greeley County, Kansas	1,282	1,274	1,280	1,223
.Greenwood County, Kansas	6,006	5,965	5,922	5,939
.Hamilton County, Kansas	2,518	2,489	2,468	2,430
.Harper County, Kansas	5,484	5,465	5,329	5,323
.Harvey County, Kansas	34,034	33,998	33,827	33,801
.Haskell County, Kansas	3,781	3,759	3,646	3,576
.Hodgeman County, Kansas	1,723	1,739	1,750	1,755
.Jackson County, Kansas	13,234	13,241	13,270	13,286
.Jefferson County, Kansas	18,359	18,320	18,419	18,344
.Jewell County, Kansas	2,938	2,936	2,946	2,898
.Johnson County, Kansas	609,864	611,101	614,848	619,195
.Kearny County, Kansas	3,981	3,961	3,892	3,855
.Kingman County, Kansas	7,461	7,412	7,280	7,193
.Kiowa County, Kansas	2,458	2,452	2,408	2,404
.Labette County, Kansas	20,188	20,165	19,929	19,757
.Lane County, Kansas	1,574	1,569	1,572	1,556
.Leavenworth County, Kansas	81,897	81,953	82,322	82,892
.Lincoln County, Kansas	2,940	2,948	2,907	2,899
.Linn County, Kansas	9,591	9,586	9,730	9,796
.Logan County, Kansas	2,762	2,743	2,710	2,705
.Lyon County, Kansas	32,177	32,107	31,987	31,898
.McPherson County, Kansas	30,220	30,180	30,137	30,012
.Marion County, Kansas	11,819	11,778	11,756	11,868
.Marshall County, Kansas	10,038	10,026	10,010	9,982
.Meade County, Kansas	4,055	4,054	3,989	3,897
.Miami County, Kansas	34,205	34,232	34,665	34,867
.Mitchell County, Kansas	5,792	5,772	5,757	5,738
.Montgomery County, Kansas	31,484	31,393	31,202	30,996
.Morris County, Kansas	5,389	5,367	5,362	5,349
.Morton County, Kansas	2,697	2,697	2,669	2,599
.Nemaha County, Kansas	10,277	10,265	10,216	10,115
.Neosho County, Kansas	15,902	15,905	15,779	15,606
.Ness County, Kansas	2,676	2,667	2,651	2,645
.Norton County, Kansas	5,458	5,453	5,369	5,301
.Osage County, Kansas	15,770	15,746	15,746	15,654
.Osborne County, Kansas	3,501	3,497	3,485	3,490
.Ottawa County, Kansas	5,729	5,728	5,834	5,795
.Pawnee County, Kansas	6,259	6,261	6,246	6,179
.Phillips County, Kansas	4,990	4,977	4,845	4,809
.Pottawatomie County, Kansas	25,344	25,411	25,860	26,273
.Pratt County, Kansas	9,159	9,148	9,180	9,067
.Rawlins County, Kansas	2,560	2,565	2,559	2,528
.Reno County, Kansas	61,898	61,887	61,510	61,516
.Republic County, Kansas	4,682	4,677	4,682	4,642
.Rice County, Kansas	9,423	9,385	9,406	9,407
.Riley County, Kansas	71,963	72,013	71,849	71,108
.Rooks County, Kansas	4,921	4,895	4,870	4,813
.Rush County, Kansas	2,951	2,938	2,925	2,927
.Russell County, Kansas	6,684	6,670	6,677	6,639
.Saline County, Kansas	54,301	54,253	53,899	53,596
.Scott County, Kansas	5,151	5,138	5,121	5,014
.Sedgwick County, Kansas	523,830	524,786	524,481	525,525
.Seward County, Kansas	21,962	21,854	21,747	21,358
